time,soil_moisture,temperature,air_humidity
1586517424,426,25.10,57.00
1586518264,446,24.20,62.00
1586519109,450,24.10,64.00
1586519954,450,24.00,65.00
1586520803,451,24.10,67.00
1586521651,447,24.10,69.00
1586522499,447,24.20,73.00
1586523360,451,24.10,77.00
1586524230,451,24.10,79.00
1586525095,451,24.10,79.00
1586525951,448,24.20,81.00
1586526798,451,24.20,83.00
1586527643,449,24.20,84.00
1586528509,450,24.20,85.00
1586529373,457,24.20,83.00
1586530229,457,24.20,85.00
1586531124,450,24.20,81.00
1586532057,450,24.20,84.00
1586533000,457,24.10,85.00
1586533900,451,24.20,85.00
1586534778,452,24.20,88.00
1586535664,459,24.20,88.00
1586536538,454,24.20,90.00
1586537390,460,24.20,92.00
1586538235,460,24.20,90.00
1586539103,454,24.20,91.00
1586539961,460,24.20,91.00
1586540826,454,24.20,91.00
1586541681,460,24.20,90.00
1586542541,460,24.20,89.00
1586543415,460,24.30,88.00
1586544268,460,24.30,85.00
1586545121,457,24.30,85.00
1586545991,452,24.20,86.00
1586546864,460,24.30,86.00
1586547725,461,24.30,86.00
1586548587,462,24.20,87.00
1586549432,464,24.30,87.00
1586550288,464,24.30,86.00
1586551140,459,24.30,86.00
1586551989,464,24.30,86.00
1586552838,462,24.30,86.00
1586553687,463,24.30,86.00
1586554544,464,24.30,85.00
1586555394,460,24.30,85.00
1586556234,465,24.30,85.00
1586557077,465,24.20,87.00
1586557924,465,24.20,86.00
1586558771,465,24.20,88.00
1586559616,464,24.10,87.00
1586560469,462,24.10,87.00
1586561316,459,24.00,87.00
1586562159,459,24.00,87.00
1586563006,463,24.00,86.00
1586563855,464,23.90,85.00
1586564703,464,23.90,82.00
1586565549,465,23.80,81.00
1586566394,465,23.90,81.00
1586567243,465,23.80,81.00
1586568087,460,23.80,81.00
1586568931,465,23.80,81.00
1586569786,465,23.80,82.00
1586570648,460,23.70,82.00
1586571517,460,23.70,82.00
1586572366,465,23.70,82.00
1586573210,465,23.70,82.00
1586574051,465,23.70,83.00
1586574895,466,23.70,82.00
1586575737,466,23.70,83.00
1586576586,466,23.60,82.00
1586577428,466,23.60,83.00
1586578273,466,23.60,83.00
1586579118,466,23.60,83.00
1586579962,466,23.60,83.00
1586580803,466,23.60,82.00
1586581653,466,23.60,81.00
1586582496,466,23.60,83.00
1586583341,466,23.60,82.00
1586584190,461,23.60,83.00
1586585037,466,23.60,83.00
1586585883,461,23.60,83.00
1586586762,466,23.60,84.00
1586587606,465,23.70,83.00
1586588446,465,23.70,85.00
1586589297,465,23.70,84.00
1586590135,465,23.90,86.00
1586590975,465,23.80,87.00
1586591820,465,23.50,78.00
1586592666,465,23.50,80.00
1586593643,464,23.80,75.00
1586594475,464,23.90,73.00
1586595485,464,24.00,66.00
1586596852,464,24.00,47.00
1586597799,462,24.10,64.00
1586598755,465,24.00,64.00
1586599607,465,24.20,65.00
1586600456,465,24.20,66.00
1586601478,465,24.10,66.00
1586602715,355,24.20,67.00
1586603989,360,24.10,54.00
1586605181,357,24.20,73.00
1586606109,368,24.20,72.00
1586607290,374,24.30,75.00
1586608143,368,24.20,79.00
1586608989,378,24.30,85.00
1586609824,381,24.30,85.00
1586610665,384,24.30,86.00
1586611503,386,24.30,84.00
1586612351,379,24.30,86.00
1586613204,384,24.20,91.00
1586614097,386,24.30,86.00
1586614947,386,24.30,87.00
1586615810,386,24.30,89.00
1586616676,386,24.30,89.00
1586617530,386,24.30,92.00
1586618383,387,24.30,92.00
1586619220,387,24.40,92.00
1586620061,387,24.40,93.00
1586620910,387,24.50,93.00
1586621776,386,24.40,86.00
1586622659,387,24.50,78.00
1586623522,387,24.50,94.00
1586624370,387,24.40,94.00
1586625210,387,24.50,94.00
1586626051,387,24.50,95.00
1586626893,387,24.40,95.00
1586627739,387,24.50,95.00
1586628586,381,24.40,95.00
1586629434,381,24.40,95.00
1586630280,387,24.30,95.00
1586631125,387,24.40,95.00
1586631980,379,24.40,95.00
1586632831,380,24.30,89.00
1586633693,387,24.40,95.00
1586634529,387,24.40,95.00
1586635369,388,24.40,95.00
1586636218,382,24.30,95.00
1586637062,387,24.30,95.00
1586637898,387,24.30,95.00
1586638734,388,24.30,95.00
1586639568,388,24.30,95.00
1586640415,388,24.30,95.00
1586641261,388,24.30,95.00
1586642103,388,24.30,95.00
1586642950,388,24.20,95.00
1586643793,388,24.30,95.00
1586644642,384,24.30,95.00
1586645489,388,24.30,95.00
1586646335,389,24.20,95.00
1586647180,389,24.20,95.00
1586648022,388,24.20,95.00
1586648876,389,24.20,95.00
1586649731,389,24.10,95.00
1586650588,389,24.10,95.00
1586651433,384,24.10,95.00
1586652275,389,24.10,95.00
1586653123,389,24.00,95.00
1586653971,387,24.00,95.00
1586654821,387,24.00,95.00
1586655672,388,23.90,95.00
1586656516,388,24.00,95.00
1586657362,388,23.90,95.00
1586658206,388,23.90,95.00
1586659051,389,24.00,95.00
1586659899,389,23.90,91.00
1586660743,389,23.90,95.00
1586661585,385,23.90,95.00
1586662431,390,23.90,95.00
1586663273,391,23.80,95.00
1586664114,391,23.80,95.00
1586664958,386,23.90,95.00
1586665801,391,23.80,95.00
1586666647,391,23.80,95.00
1586667490,391,23.90,95.00
1586668333,391,23.80,95.00
1586669174,391,23.90,95.00
1586670020,386,23.80,95.00
1586670860,385,23.90,95.00
1586671700,391,23.80,95.00
1586672542,390,23.80,95.00
1586673388,391,23.90,95.00
1586674230,391,23.90,94.00
1586675074,386,23.90,95.00
1586675919,392,23.90,94.00
1586676766,392,23.90,95.00
1586677598,386,23.60,85.00
1586678436,391,23.50,81.00
1586679285,389,23.60,85.00
1586680128,390,23.90,83.00
1586680964,384,24.00,78.00
1586681795,384,24.10,78.00
1586682639,391,24.20,77.00
1586683473,389,24.20,80.00
1586684300,389,24.30,75.00
1586685137,385,24.30,76.00
1586685965,385,24.30,76.00
1586686806,391,24.30,81.00
1586687637,389,24.30,82.00
1586688469,384,24.30,84.00
1586689302,389,24.40,85.00
1586690134,390,24.30,79.00
1586690968,391,24.30,81.00
1586691804,391,24.30,84.00
1586692651,386,24.30,86.00
1586693501,391,24.30,88.00
1586694339,386,24.30,88.00
1586695185,392,24.30,89.00
1586696029,391,24.30,93.00
1586696875,387,24.40,94.00
1586697721,392,24.40,86.00
1586698567,392,24.30,83.00
1586699421,392,24.30,83.00
1586700268,387,24.30,79.00
1586701119,392,24.30,70.00
1586702012,392,24.30,67.00
1586702859,392,24.30,51.00
1586703717,392,24.30,49.00
1586704564,386,24.30,62.00
1586705431,387,24.40,66.00
1586706279,393,24.40,68.00
1586707129,387,24.50,70.00
1586707987,393,24.50,71.00
1586708832,388,24.30,73.00
1586709675,388,24.40,75.00
1586710520,393,24.40,80.00
1586711344,388,24.50,82.00
1586712185,393,24.50,87.00
1586713024,393,24.40,93.00
1586713876,393,24.50,94.00
1586714716,393,24.50,95.00
1586715564,393,24.60,94.00
1586716406,393,24.60,93.00
1586717256,393,24.60,86.00
1586718118,393,24.60,91.00
1586718972,393,24.60,91.00
1586719817,393,24.50,90.00
1586720659,388,24.50,91.00
1586721505,393,24.50,90.00
1586722352,393,24.50,88.00
1586723198,393,24.40,89.00
1586724046,393,24.40,90.00
1586724953,393,24.40,90.00
1586725797,393,24.30,90.00
1586726644,388,24.30,91.00
1586727487,393,24.30,90.00
1586728327,393,24.20,91.00
1586729172,393,24.20,92.00
1586730011,393,24.10,90.00
1586730856,393,24.10,88.00
1586731698,393,24.20,92.00
1586732568,393,24.20,81.00
1586733428,388,24.30,90.00
1586734268,393,24.30,89.00
1586735113,394,24.30,90.00
1586735960,394,24.30,90.00
1586736800,394,24.30,89.00
1586737645,394,24.30,89.00
1586738489,394,24.30,88.00
1586739331,394,24.30,89.00
1586740178,394,23.90,92.00
1586741023,394,23.90,91.00
1586741868,394,23.90,92.00
1586742709,396,23.80,92.00
1586743552,394,23.80,91.00
1586744395,396,23.70,92.00
1586745241,396,23.70,91.00
1586746088,391,23.60,90.00
1586746937,391,23.60,91.00
1586747787,396,23.60,90.00
1586748635,396,23.60,90.00
1586749475,397,23.60,91.00
1586750316,392,23.50,91.00
1586751159,397,23.50,91.00
1586752010,397,23.60,91.00
1586752857,392,23.50,91.00
1586753701,397,23.50,92.00
1586754543,397,23.50,91.00
1586755384,397,23.50,91.00
1586756228,398,23.50,91.00
1586757069,398,23.50,91.00
1586757910,399,23.50,92.00
1586758750,399,23.60,91.00
1586759595,399,23.50,93.00
1586760436,393,23.60,93.00
1586761280,399,23.20,86.00
1586762128,399,23.00,85.00
1586762971,400,23.00,86.00
1586763821,393,23.10,82.00
1586764671,400,23.30,80.00
1586765516,401,23.30,81.00
1586766369,401,23.50,76.00
1586767224,402,23.80,74.00
1586768076,402,23.80,74.00
1586768954,402,23.80,71.00
1586769800,396,23.90,69.00
1586770650,402,23.90,77.00
1586771537,396,24.10,85.00
1586772404,402,23.90,80.00
1586773244,402,23.90,80.00
1586774083,403,23.90,81.00
1586774943,403,23.90,78.00
1586775790,397,23.90,79.00
